Index number: 2
Stimuli file: Amazon(2).png, ground truth: 0
Response time: 6018.3443, subject result: 0
Index TimeStamp X(pixel) Y(pixel) tracked
295 466712477.534048 296 392 true
296 466712489.630555 294 375 true
297 466712507.490408 309 371 true
298 466712522.546958 404 345 true
299 466712534.760812 416 340 true
300 466712552.655342 419 340 true
301 466712567.801498 427 325 true
302 466712578.762813 437 322 true
303 466712618.054267 442 329 true
304 466712628.958434 442 329 true
305 466712645.416219 446 328 true
306 466712659.011889 445 327 true
307 466712669.502982 441 322 true
308 466712687.882715 439 319 true
309 466712702.354469 438 317 true
310 466712714.117798 442 321 true
311 466712731.568182 440 325 true
312 466712759.939379 414 316 true
313 466712776.550853 410 312 true
314 466712793.678324 401 311 true
315 466712804.146946 389 303 true
316 466712821.79069 390 304 true
317 466712839.603659 385 304 true
318 466712853.273955 386 305 true
319 466712870.507954 387 306 true
320 466712885.256848 389 310 true
321 466712915.616573 390 310 true
322 466712928.593325 401 319 true
323 466712938.759007 401 319 true
324 466712959.768379 398 318 true
325 466712976.880592 397 318 true
326 466712988.118492 394 316 true
327 466713001.506376 390 317 true
328 466713016.317967 390 317 true
329 466713029.847889 387 318 true
330 466713067.892352 389 320 true
331 466713079.466759 391 320 true
332 466713096.739042 383 315 true
333 466713110.415718 384 318 true
334 466713121.464697 387 322 true
335 466713136.504325 387 322 true
336 466713151.478482 386 322 true
337 466713164.05076 376 323 true
338 466713182.914586 376 321 true
339 466713210.370582 373 321 true
340 466713226.424725 373 320 true
341 466713241.437721 378 322 true
342 466713253.932599 377 327 true
343 466713271.233178 375 329 true
344 466713286.270587 372 330 true
345 466713298.987954 374 332 true
346 466713316.350397 377 330 true
